Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
4070       594.44         -2.69            -39.08        272.1              12.56
4080       593.69         -2.76            -38.82        272.2              12.57
4090       592.95         -2.84            -38.52        272.7              12.53
4100       592.20         -2.91            -38.34        273.3              12.50
4110       591.46         -2.98            -38.26        273.6              12.53
4120       590.71         -3.06            -38.31        273.5              12.52
4130       589.97         -3.15            -38.45        273.6              12.47
4140       589.23         -3.23            -38.66        273.8              12.46
4150       588.48         -3.31            -38.90        273.6              12.45
4160       587.74         -3.38            -39.08        273.6              12.42
4170       587.00         -3.46            -39.26        274.0              12.34
4180       586.26         -3.54            -39.39        274.2              12.24
4190       585.52         -3.61            -39.49        274.1              12.16
4200       584.79         -3.70            -39.56        274.3              12.07
4210       584.05         -3.79            -39.64        274.2              11.89
4220       583.31         -3.87            -39.74        274.0              11.78
4230       582.57         -3.95            -39.88        272.8              11.76
4240       581.84         -4.02            -40.07        271.7              11.71
4250       581.10         -4.09            -40.33        270.8              11.70
4260       580.37         -4.14            -40.68        269.9              11.74
4270       579.64         -4.19            -41.01        269.4              11.81
4280       578.91         -4.24            -41.40        268.3              11.87
4290       578.17         -4.29            -41.76        267.9              11.92
4300       577.44         -4.35            -42.03        267.5              11.97
4310       576.71         -4.41            -42.16        266.7              12.06
4320       575.98         -4.47            -42.17        266.3              12.06
4330       575.26         -4.52            -42.11        266.0              12.06
4340       574.53         -4.58            -42.02        265.9              12.14
4350       573.80         -4.65            -41.88        265.4              12.17
4360       573.07         -4.73            -41.72        264.8              12.17
4370       572.35         -4.81            -41.56        264.8              12.19
4380       571.62         -4.92            -41.37        264.8              12.27
4390       570.90         -5.01            -41.26        264.4              12.25
4400       570.18         -5.09            -41.15        263.9              12.21
4410       569.45         -5.17            -41.05        263.1              12.16
4420       568.73         -5.25            -40.96        262.6              12.17
4430       568.01         -5.35            -40.84        261.7              12.12
4440       567.29         -5.42            -40.74        260.8              12.02
4450       566.57         -5.51            -40.61        259.8              11.95
4460       565.85         -5.60            -40.49        258.5              11.87
4470       565.13         -5.70            -40.33        257.2              11.79
4480       564.41         -5.80            -40.14        256.4              11.70
4490       563.70         -5.89            -39.96        256.0              11.66
4500       562.98         -5.96            -39.81        256.1              11.60
4510       562.26         -6.04            -39.62        256.1              11.56
4520       561.55         -6.10            -39.46        256.2              11.56
4530       560.83         -6.19            -39.25        256.4              11.51
4540       560.12         -6.27            -39.09        256.4              11.49
4550       559.41         -6.36            -38.91        256.9              11.45
4560       558.69         -6.44            -38.76        257.5              11.48
